"Tuberculosis incidence (per 100,000 people)",,,,,,,,,,,,,,,,,,,,
HDI Rank (2018),Country,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017
170,Afghanistan,190,,189,,189,,189,,189,,189,,189,,189,,189,,189
69,Albania,22,,19,,17,,17,,16,,19,,16,,16,,16,,20
82,Algeria,74,,80,,77,,73,,73,,67,,72,,74,,70,,70
36,Andorra,21,,15,,9.5,,4.1,,13,,7.1,,8.7,,5.9,,6,,1.5
149,Angola,297,,368,,384,,383,,380,,376,,370,,366,,362,,359
74,Antigua and Barbuda,5.5,,7.7,,8.5,,7.2,,3.6,,12,,3.5,,4.4,,3.4,,1.1
48,Argentina,37,,31,,20,,27,,24,,24,,25,,25,,27,,26
81,Armenia,54,,92,,61,,55,,53,,60,,57,,50,,44,,36
6,Australia,6.3,,5.9,,6.5,,6.3,,6.6,,6.2,,6.5,,6.1,,6.6,,6.8
20,Austria,17,,13,,9.1,,9.1,,8.4,,8.4,,7.5,,7.5,,8.2,,7.4
87,Azerbaijan,80,,88,,104,,125,,86,,78,,76,,71,,66,,67
60,Bahamas,32,,17,,9.9,,13,,9.9,,10,,15,,18,,26,,15
45,Bahrain,36,,36,,23,,20,,20,,18,,16,,15,,12,,12
135,Bangladesh,221,,221,,221,,221,,221,,221,,221,,221,,221,,221
56,Barbados,1.3,,3.9,,2.5,,0,,1.6,,1.6,,2,,0,,1.2,,0
50,Belarus,86,,69,,67,,62,,63,,59,,51,,50,,42,,37
17,Belgium,14,,12,,11,,10,,9.4,,9.3,,9.1,,9.5,,10,,9.2
103,Belize,49,,41,,52,,26,,29,,40,,24,,25,,38,,36
163,Benin,86,,73,,68,,67,,66,,64,,61,,60,,59,,58
134,Bhutan,249,,192,,225,,208,,188,,176,,172,,153,,178,,134
114,Bolivia (Plurinational State of),184,,158,,135,,131,,127,,123,,120,,117,,114,,111
75,Bosnia and Herzegovina,82,,70,,44,,46,,48,,44,,42,,39,,32,,27
94,Botswana,914,,728,,518,,480,,445,,414,,385,,356,,326,,300
79,Brazil,51,,50,,44,,44,,44,,44,,43,,42,,42,,44
43,Brunei Darussalam,106,,51,,70,,67,,70,,60,,55,,58,,66,,64
52,Bulgaria,52,,52,,41,,37,,36,,33,,32,,28,,27,,25
182,Burkina Faso,70,,64,,58,,57,,55,,54,,54,,52,,51,,49
185,Burundi,290,,195,,144,,138,,133,,128,,126,,122,,118,,114
126,Cabo Verde,160,,153,,147,,145,,144,,143,,138,,139,,137,,134
146,Cambodia,575,,511,,436,,423,,411,,400,,390,,368,,345,,326
150,Cameroon,309,,311,,260,,251,,242,,235,,220,,212,,203,,194
13,Canada,6.4,,5.5,,4.6,,4.8,,5.4,,5.3,,5.1,,5.2,,5.5,,5.5
188,Central African Republic,1070,,687,,431,,402,,378,,359,,375,,391,,407,,423
187,Chad,151,,151,,151,,151,,151,,151,,159,,152,,153,,154
42,Chile,23,,18,,16,,16,,16,,16,,16,,17,,16,,17
85,China,109,,92,,77,,76,,74,,70,,68,,66,,64,,63
